,Hotel Name,Address,Rating (5),Price (2)
91,Lyfe by Soul Garden Bistro,BA Central Chennai,4.4,800
92,Aqua,"AT Park,Thousand Lights, Central Chennai",4.1,3800
93,Teppan,TA Central Chennai,4.4,2000
94,The Summer House Eatery,EA Central Chennai,4.3,1400
95,Soy Soi,SK Central Chennai,4.4,1500
96,The Bark,BA Central Chennai,4.3,1000
97,Dindigul Thalappakatti,TN Central Chennai,4.1,700
98,Indulge By Joker's Kitchen,"KI Center,Nungambakkam, Central Chennai",4.1,800
99,Frozen Bottle,BA Central Chennai,4.4,400
100,Cake Waves,WK West Chennai,4.5,500
101,Crisp Cafe,CN Central Chennai,4.1,1000
102,Savya Rasa,RK Central Chennai,4.3,1600
103,Gears & Garage Restobar,RN Central Chennai,4.1,1200
104,Aloe,AN Central Chennai,4.3,1000
105,Cake Waves,WA North Chennai,4.3,500
106,Toss,"TI Center,Nungambakkam, Central Chennai",4.0,800
107,Cafe Toastie Express,EA North Chennai,4.2,700
108,Toscano,TN Central Chennai,4.5,1500
109,The Living Room,"RA Nagar, North Chennai",4.3,2400
110,Chap Chay,"CT Raintree,Alwarpet, Central Chennai",4.4,2000
111,Chai Waale,WA Central Chennai,4.0,200
112,Jugalbhandhi,JN Central Chennai,4.0,1500
113,Rangis,RN Central Chennai,4.0,600
114,Tangerine,TA Central Chennai,4.4,1500
115,Ente Keralam,KA Central Chennai,4.4,1000
116,Brownie Heaven,HN Central Chennai,4.3,800
117,Cake Waves,WT South Chennai,4.0,500
118,Amelie's,AA Central Chennai,4.3,900
119,Le Wrap Factorie,FA Central Chennai,5.0,300
120,Mamagoto,"MO Building,Nungambakkam, Central Chennai",4.5,1500
121,Sangamitra,SS South Chennai,4.1,800
122,Little Italy,IN Central Chennai,4.5,1500
123,Kaidi Kitchen,KM Central Chennai,4.2,1000
124,B'veg - Our Secret Ingredient Is You,YG Central Chennai,4.3,800
125,Goddy's,"GC Lawn,Nungambakkam, Central Chennai",4.1,1500
126,China Town,TG Central Chennai,4.5,1500
127,Slounge,"SL Tree Hotel,Guindy, South Chennai",4.5,1200
128,Copper Chimney,CG Central Chennai,4.4,1500
129,Tuscana Pizzeria,PN Central Chennai,4.1,1200
130,Tibbs Frankie,FR Central Chennai,5.0,200
131,Sera- The Tapas Bar & Restaurant,"RO Inn,Gopalapuram, Central Chennai",4.3,1500
132,Barbeque Nation,"NB Mall,Nungambakkam, Central Chennai",4.2,1800
133,Eating Circles,CA Central Chennai,4.2,400
134,BFF - Club X,XO Central Chennai,4.1,2000
135,New Desi Tadka,"TK Nagar, West Chennai",4.0,800
136,Cinnamon House,HN Central Chennai,4.2,500
137,Alchemy Bar & Lounge,"LH Raj Park,Alwarpet, Central Chennai",4.3,2200
138,Amaravathi,AM Central Chennai,4.3,800
139,English Tavern,TA Central Chennai,4.0,1500
140,Goldman's Steakhouse,SN Central Chennai,4.4,1400
141,Bombay Brasserie,BN Central Chennai,4.3,1200
142,Waf Bites,"BK Nagar, West Chennai",4.3,300
143,Writer's Cafe,CG Central Chennai,4.2,800
144,Vintage Bank,"BH Chennai,Guindy, South Chennai",4.3,3200
145,The Quintessence,"QH Raj Park,Alwarpet, Central Chennai",4.0,1200
146,The Patiala House,HC Central Chennai,4.3,600
147,Ayna,"AH Chennai,Guindy, South Chennai",4.1,3000
148,The Fruit Bowl Co.,CR Central Chennai,5.0,500
149,Vasco's,"VH Chennai,Guindy, South Chennai",4.0,3000
150,Spice It,"II Chennai City Centre,Thousand Lights, Central Chennai",4.1,1500
151,E,"ES Chennai,Guindy, South Chennai",4.0,1500
152,Brasa,"BR Blu City Centre,Egmore, North Chennai",4.9,1800
153,Mearth Cafe,"CR Puram, Central Chennai",4.3,800
154,Haji Ali Juice Centre,CC Central Chennai,4.3,500
155,The Marina,MN Central Chennai,4.4,800
156,Lyfe by Soul Garden Bistro,BK North Chennai,4.2,800
157,The Greenhouse Barbecue,"BH Blue Diamond,Kilpauk, North Chennai",4.3,1600
158,The Pedreno's,PM Central Chennai,4.2,1900
159,Abid's,AC Central Chennai,4.4,800
160,Waf Bites,BI West Chennai,4.3,300
161,Gully Baar,BK North Chennai,4.3,1700
162,The Verandah,"VT Connemara,Anna Salai, Central Chennai",4.6,1800
163,Brownie Heaven,HR Central Chennai,4.1,800
164,27 Culinary Street,SM Central Chennai,4.0,1400
165,Rolls on Wheels,WK North Chennai,5.0,300
166,Azzuri Bay,BA South Chennai,4.2,1800
167,The Fat Boy,"BS Nagar, West Chennai",4.7,1100
168,The Great Kabab Factory,"FR Blu City Centre,Egmore, North Chennai",4.2,3000
169,Pizza Avenue,AE North Chennai,4.8,700
170,Writer's Cafe,CE North Chennai,4.4,800
171,Dindigul Thalappakatti,TG South Chennai,4.2,700
172,La Chocolate,CE North Chennai,4.3,700
173,Delhi Highway,HE North Chennai,4.1,1300
174,Olives,"OR Central Deccan,Royapettah, Central Chennai",4.1,900
175,Brownie Heaven,HE North Chennai,4.0,800
176,Jonah's Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.4,1400
177,The Board Room,RM Central Chennai,4.2,500
178,Punjab Grill,"GE Avenue Mall,Royapettah, Central Chennai",4.0,2000
179,Cafe Treat,"TT Pride Hotel,Kilpauk, North Chennai",4.2,1200
180,B,"BL CH3MISTRYValasaravakkam, West Chennai",4.1,1300
181,Libarrel,LM Central Chennai,4.2,2200
182,Silver Spoon,"SA Nagar, North Chennai",4.2,1000
183,Waf Bites,BA South Chennai,4.7,300
184,Prive Restaurant,RM Central Chennai,4.4,1200
185,Mamagoto,"ME Avenue Mall,Royapettah, Central Chennai",4.0,1500
186,Chai Waale,WK North Chennai,5.0,200
187,Chai Waale,WE North Chennai,4.0,200
188,Spice Trail,TE North Chennai,4.0,1000
189,Taco Bell,"BE Avenue Mall,Royapettah, Central Chennai",4.0,500
190,Murugan Idli Shop,"SA Nagar, North Chennai",4.4,300
191,Lyfe by Soul Garden Bistro,"BE Avenue Mall,Royapettah, Central Chennai",4.0,800
192,Palmshore,PE North Chennai,4.1,1000
193,Brownie Heaven,HA South Chennai,4.7,800
194,Double Roti,"RA Nagar, North Chennai",4.4,1000
195,Little Italy,"IA Nagar, North Chennai",4.5,1500
196,Fuel Juice And Pasta Bar,BK North Chennai,4.4,500
197,The Cascade,"CR Tower,Anna Nagar, North Chennai",4.2,800
198,That Waffle Place,PR Central Chennai,4.1,300
199,Creamy Inn,"IA Nagar, North Chennai",4.3,300
200,Superstar Pizza,PE North Chennai,4.2,800
201,Savoury Sea Shell,"SA Nagar, North Chennai",4.2,1000
202,The Republik Beer Cafe,CA South Chennai,4.1,1500
203,Convo @ C,C2 South Chennai,4.4,900
204,Writer's Cafe,CA South Chennai,4.5,800
205,Bombay Brasserie,"BV 77,Adyar, South Chennai",4.3,1400
206,Prive Restaurant,"RV Hotel,Kilpauk, North Chennai",4.3,1200
207,Asian Station,"SA Nagar, North Chennai",4.1,1100
208,Southern Chinese,"CA Nagar, North Chennai",4.2,800
209,Prems Graama Bhojanam,BA South Chennai,4.6,300
210,Mozza,"MA Nagar, North Chennai",4.3,1200
211,Little North,NK North Chennai,4.0,800
212,The Scoop Bar,"BA Nagar, North Chennai",4.1,600
213,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.0,700
214,Ente Keralam,"KA Nagar, North Chennai",4.3,800
215,Desi Street,SA Central Chennai,4.1,1000
216,Chai Waale,"WV Plaza,Anna Nagar, North Chennai",5.0,200
217,Ravi Mehra's Delhi Hotel,HK North Chennai,4.4,1000
218,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.2,700
219,Murugan Idli Shop,SK North Chennai,4.0,300
220,Dindigul Thalappakatti,"TV Towers,Triplicane, North Chennai",4.7,700
221,Slounge,"SL Tree Hotel Shimona,Manapakkam, West Chennai",4.2,1200
222,Bronx,"BH Manhattan,Mylapore, Central Chennai",5.0,1100
223,Skyloft,"SF - A Radha Hotel,Manapakkam, West Chennai",4.4,1500
224,Champions Bar,"BM Inn,Egmore, North Chennai",4.0,1000
225,Cafe Arabica,"AA Nagar, North Chennai",4.2,800
226,Juice Forest,"FA Nagar, North Chennai",4.0,300
227,Khandani Rajdhani,"RP Market City,Velachery, South West Chennai",4.0,1200
228,Cold Stone Creamery,"CA Nagar, North Chennai",5.0,400
229,Haven Sampoorna,SV South West Chennai,4.3,1200
230,Collage By Toscano,"TV Mall,Anna Nagar, North Chennai",4.4,300
231,Monkey Bar,"BA Nagar, North Chennai",4.4,2000
232,Taco Bell,"BV Mall,Anna Nagar, North Chennai",4.3,500
233,Millet Maagic Meal,"MA Nagar, North Chennai",4.6,300
234,Fromage,"FS Greenways,MRC Nagar, Central Chennai",4.3,1400
235,Writer's Cafe,"CV Mall,Anna Nagar, North Chennai",4.4,800
236,Brownie Heaven,"HV Mall,Anna Nagar, North Chennai",4.2,800
