,Hotel Name,Address,Rating (5),Price (2)
90,Mainland China,CT Central Chennai,4.1,1200
91,Kailash Parbat,PA South Chennai,4.2,800
92,77 Kitchen,"KM Tree Hotels,Vadapalani, West Chennai",3.5,900
93,Millet Maagic Meal,MA Central Chennai,4.8,300
94,Dhabba Express,ET Central Chennai,3.8,800
95,7th Heaven,"HG Park Hotel,Ashok Nagar, West Chennai",2.3,1000
96,Madras Coffee House,HA Central Chennai,5.0,200
97,The Cascade,"CP Tower,Nungambakkam, Central Chennai",4.7,800
98,The Fat Boy,BA Central Chennai,4.5,1500
99,Cafe Cake,CB Central Chennai,4.5,1000
100,Copper Kitchen,KS West Chennai,4.3,1000
101,Spice Klub,KN Central Chennai,4.4,1800
102,Masaledaar Dhaba,DS West Chennai,4.4,600
103,The Velveteen Rabbit,"RR Puram, Central Chennai",4.2,4200
104,Mezze,MA Central Chennai,4.5,1000
105,Superstar Pizza,PA Central Chennai,4.5,800
106,Smoke Hub Barbeque,BV South West Chennai,3.8,1800
107,The Westminster,"WC Plaza Chennai Adyar Park,Alwarpet, Central Chennai",4.8,2000
108,Dhaba Estd 1,"19 DelhiIspahani Center,Nungambakkam, Central Chennai",4.2,2000
109,Off The Record,RN Central Chennai,4.2,2500
110,Hotel Saravana Bhavan,BS West Chennai,4.0,600
111,Cappuccino,"CC Plaza Chennai Adyar Park,Alwarpet, Central Chennai",4.3,1800
112,6,"6O Park,Thousand Lights, Central Chennai",4.2,2800
113,Benjarong,BA Central Chennai,4.6,1200
114,Topi Vappa Biriyani,"BT Nagar, Central Chennai",1.0,700
115,Black Orchid,"OR Puram, Central Chennai",4.5,1900
116,Teasers,TN Central Chennai,3.7,300
117,The Residency,"RC Plaza Chennai Adyar Park,Alwarpet, Central Chennai",4.2,3000
118,Lyfe by Soul Garden Bistro,BA Central Chennai,4.4,800
119,Aqua,"AT Park,Thousand Lights, Central Chennai",4.1,3800
120,Teppan,TA Central Chennai,4.4,2000
121,The Summer House Eatery,EA Central Chennai,4.3,1400
122,Soy Soi,SK Central Chennai,4.4,1500
123,The Bark,BA Central Chennai,4.3,1000
124,Dindigul Thalappakatti,TN Central Chennai,4.1,700
125,Indulge By Joker's Kitchen,"KI Center,Nungambakkam, Central Chennai",4.1,800
126,Frozen Bottle,BA Central Chennai,4.4,400
127,Cake Waves,WK West Chennai,4.5,500
128,Crisp Cafe,CN Central Chennai,4.1,1000
129,Savya Rasa,RK Central Chennai,4.3,1600
130,Gears & Garage Restobar,RN Central Chennai,4.1,1200
131,Aloe,AN Central Chennai,4.3,1000
132,Cake Waves,WA North Chennai,4.3,500
133,Toss,"TI Center,Nungambakkam, Central Chennai",4.0,800
134,Cafe Toastie Express,EA North Chennai,4.2,700
135,Toscano,TN Central Chennai,4.5,1500
136,The Living Room,"RA Nagar, North Chennai",4.3,2400
137,Chap Chay,"CT Raintree,Alwarpet, Central Chennai",4.4,2000
138,Chai Waale,WA Central Chennai,4.0,200
139,Jugalbhandhi,JN Central Chennai,4.0,1500
140,Rangis,RN Central Chennai,4.0,600
141,Tangerine,TA Central Chennai,4.4,1500
142,Ente Keralam,KA Central Chennai,4.4,1000
143,Smoke Hub Barbeque,BP South West Chennai,3.7,1800
144,Brownie Heaven,HN Central Chennai,4.3,800
145,Cake Waves,WT South Chennai,4.0,500
146,Amelie's,AA Central Chennai,4.3,900
147,Le Wrap Factorie,FA Central Chennai,5.0,300
148,Mamagoto,"MO Building,Nungambakkam, Central Chennai",4.5,1500
149,Sangamitra,SS South Chennai,4.1,800
150,Bhimaas,"BH Bhimaas,Vadapalani, West Chennai",1.8,600
151,Little Italy,IN Central Chennai,4.5,1500
152,Kaidi Kitchen,KM Central Chennai,4.2,1000
153,Hotel Saravana Bhavan,BK West Chennai,1.0,600
154,Eatza Pizza,PN Central Chennai,3.6,600
155,B'veg - Our Secret Ingredient Is You,YG Central Chennai,4.3,800
156,Goddy's,"GC Lawn,Nungambakkam, Central Chennai",4.1,1500
157,China Town,TG Central Chennai,4.5,1500
158,Slounge,"SL Tree Hotel,Guindy, South Chennai",4.5,1200
159,Chennai Kulfi,KA North Chennai,3.6,200
160,Copper Chimney,CG Central Chennai,4.4,1500
161,Freak Shake Bro,"BK Nagar, West Chennai",2.3,300
162,Mexicano Griller,GN Central Chennai,2.6,800
163,Tuscana Pizzeria,PN Central Chennai,4.1,1200
164,Tibbs Frankie,FR Central Chennai,5.0,200
165,Sera- The Tapas Bar & Restaurant,"RO Inn,Gopalapuram, Central Chennai",4.3,1500
166,Barbeque Nation,"NB Mall,Nungambakkam, Central Chennai",4.2,1800
167,Barracuda Brew,BN Central Chennai,3.9,2900
168,Dhabba Express,"EE Building,Nungambakkam, Central Chennai",3.5,800
169,Eating Circles,CA Central Chennai,4.2,400
170,BFF - Club X,XO Central Chennai,4.1,2000
171,New Desi Tadka,"TK Nagar, West Chennai",4.0,800
172,Cinnamon House,HN Central Chennai,4.2,500
